sample,caller,vtype,metric,value
NA12878,gatk-haplotype,SNPs,tp,197856
NA12878,gatk-haplotype,Indels,tp,26882
NA12878,gatk-haplotype,SNPs,fp,6407
NA12878,gatk-haplotype,Indels,fp,6670
NA12878,gatk-haplotype,SNPs,fn,1052
NA12878,gatk-haplotype,Indels,fn,1727
NA24385,gatk-haplotype,SNPs,tp,200231
NA24385,gatk-haplotype,Indels,tp,24737
NA24385,gatk-haplotype,SNPs,fp,31535
NA24385,gatk-haplotype,Indels,fp,50931
NA24385,gatk-haplotype,SNPs,fn,722
NA24385,gatk-haplotype,Indels,fn,2777
NA24631,gatk-haplotype,SNPs,tp,196017
NA24631,gatk-haplotype,Indels,tp,24239
NA24631,gatk-haplotype,SNPs,fp,1992
NA24631,gatk-haplotype,Indels,fp,384
NA24631,gatk-haplotype,SNPs,fn,121
NA24631,gatk-haplotype,Indels,fn,89
