sample,caller,vtype,metric,value
NA12878-chr20,platypus,SNPs,tp,65096
NA12878-chr20,platypus,Indels,tp,6763
NA12878-chr20,platypus,SNPs,fp,182
NA12878-chr20,platypus,Indels,fp,78
NA12878-chr20,platypus,SNPs,fn,2978766
NA12878-chr20,platypus,Indels,fn,491862
NA12878-chr20,samtools,SNPs,tp,66726
NA12878-chr20,samtools,Indels,tp,8037
NA12878-chr20,samtools,SNPs,fp,382
NA12878-chr20,samtools,Indels,fp,1538
NA12878-chr20,samtools,SNPs,fn,2977136
NA12878-chr20,samtools,Indels,fn,490588
NA12878-chr20,freebayes,SNPs,tp,66831
NA12878-chr20,freebayes,Indels,tp,9209
NA12878-chr20,freebayes,SNPs,fp,348
NA12878-chr20,freebayes,Indels,fp,500
NA12878-chr20,freebayes,SNPs,fn,2977031
NA12878-chr20,freebayes,Indels,fn,489416
