sample,caller,vtype,metric,value
NA12878-chr20,platypus,SNPs,tp,65096
NA12878-chr20,platypus,Indels,tp,6758
NA12878-chr20,platypus,SNPs,fp,184
NA12878-chr20,platypus,Indels,fp,79
NA12878-chr20,platypus,SNPs,fn,1882
NA12878-chr20,platypus,Indels,fn,4182
NA12878-chr20,samtools,SNPs,tp,66726
NA12878-chr20,samtools,Indels,tp,8035
NA12878-chr20,samtools,SNPs,fp,381
NA12878-chr20,samtools,Indels,fp,1537
NA12878-chr20,samtools,SNPs,fn,252
NA12878-chr20,samtools,Indels,fn,2905
NA12878-chr20,freebayes,SNPs,tp,66831
NA12878-chr20,freebayes,Indels,tp,9206
NA12878-chr20,freebayes,SNPs,fp,335
NA12878-chr20,freebayes,Indels,fp,499
NA12878-chr20,freebayes,SNPs,fn,147
NA12878-chr20,freebayes,Indels,fn,1734
